Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
premium-compound-hing-powder,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,93,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/111_800x800_5ed1d8df-ac75-4783-9d69-5127cd0ecb6f.png?v=1787885412,,
premium-compound-hing-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,185,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/111_800x800_5ed1d8df-ac75-4783-9d69-5127cd0ecb6f.png?v=1787885412,,
premium-compound-hing-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,460,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/111_800x800_5ed1d8df-ac75-4783-9d69-5127cd0ecb6f.png?v=1787885412,,
special-tea-masala,Premium Tea Masala,Dhanhar Vishesh,Tea Masala,"bestseller, box, chai-pai-charcha, jain-friendly, tea-masala, tea-masala-products",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,65,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_143_800x800_e3dfd814-be1d-4db8-9506-af1fcfdb9dd3.png?v=1787912473,active,Tea Masala
special-tea-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,125,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_143_800x800_e3dfd814-be1d-4db8-9506-af1fcfdb9dd3.png?v=1787912473,,
punjabi-gravy-masala,Punjabi Gravy Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_145_800x800_5d9bbf89-476f-4925-bca6-6543d3fc7200.png?v=1787912474,active,Premium Blended Spices
punjabi-gravy-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_145_800x800_5d9bbf89-476f-4925-bca6-6543d3fc7200.png?v=1787912474,,
punjabi-gravy-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
rajgara-atta,Rajgara Atta,Dhanhar Vishesh,Fasting Products,"fasting-products, jain-friendly, pouch, upwas-products, vrat-ki-thali",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,28,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/61_800x800_21c6025b-d574-4466-b750-cad1cd77211a.png?v=1787885402,active,Fasting Products
rajgara-atta,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,54,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/61_800x800_21c6025b-d574-4466-b750-cad1cd77211a.png?v=1787885402,,
rajgara-atta,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,130,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/61_800x800_21c6025b-d574-4466-b750-cad1cd77211a.png?v=1787885402,,
rajwadi-garam-masala,Rajwadi Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Pouch,50,shopify,100,deny,manual,33,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/57_800x800_1979aea3-4ef7-4043-99e8-1c47ed07d7c1.png?v=1787885401,active,Garam Masala
rajwadi-garam-masala,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,65,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/57_800x800_1979aea3-4ef7-4043-99e8-1c47ed07d7c1.png?v=1787885401,,
rajwadi-garam-masala,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,128,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/57_800x800_1979aea3-4ef7-4043-99e8-1c47ed07d7c1.png?v=1787885401,,
rajwadi-garam-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,315,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/57_800x800_1979aea3-4ef7-4043-99e8-1c47ed07d7c1.png?v=1787885401,,
red-label-compound-hing,Red Label Compound Hing,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,195,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/105_800x800_f151697f-e991-47b0-ae8b-263e5b81992d.png?v=1787885409,active,Compound Hing Powder (Asafoetida)
rock-salt,Rock Salt,Dhanhar Vishesh,Fasting Products,"fasting-products, jain-friendly, pouch, upwas-products, vrat-ki-thali",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,85,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/55_800x800_1cdb2ce9-fa8d-4e27-bbab-77e2359d3aa8.png?v=1787885400,active,Fasting Products
sahi-paneer-masala,Shahi Paneer Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_149_800x800_eec507c5-1b28-4e69-9318-1c7925614f16.png?v=1787912478,active,Premium Blended Spices
sahi-paneer-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_149_800x800_eec507c5-1b28-4e69-9318-1c7925614f16.png?v=1787912478,,
shingoda-atta,Shingoda Atta,Dhanhar Vishesh,Fasting Products,"fasting-products, jain-friendly, pouch, upwas-products, vrat-ki-thali",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/116_800x800_1a41b86a-e8cc-4091-b526-d117427f21d8.png?v=1787885415,active,Fasting Products
shingoda-atta,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,205,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/116_800x800_1a41b86a-e8cc-4091-b526-d117427f21d8.png?v=1787885415,,
special-garam-masala,Special Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,420,TRUE,TRUE,,,,active,Garam Masala
super-compound-hing-powder,Super compound Hing Powder,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"compound-hing-powder-asafoetida, jain-friendly, jar",TRUE,Pack Size,50g,Pack Type,Jar,50,shopify,100,deny,manual,49,TRUE,TRUE,,,,active,Compound Hing Powder (Asafoetida)
super-compound-hing-powder,,,,,,Pack Size,100g,Pack Type,Jar,100,shopify,100,deny,manual,98,TRUE,TRUE,,,,,
super-compound-hing-powder,,,,,,Pack Size,200g,Pack Type,Jar,200,shopify,100,deny,manual,196,TRUE,TRUE,,,,,
super-compound-hing-powder,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,490,TRUE,TRUE,,,,,
super-garam-masala,Super Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,310,TRUE,TRUE,,,,active,Garam Masala
surti-garam-masala,Surti Garam Masala,Dhanhar Vishesh,Garam Masala,"garam-masala, jain-friendly, pouch",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,360,TRUE,TRUE,,,,active,Garam Masala
tandoori-chicken-masala,Tandoori Chicken Masala,Dhanhar Vishesh,Premium Blended Spices,"box, premium-blended-spices",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_151_800x800_974f4f7d-2f89-4c94-a2e4-e666d31bbd2d.png?v=1787912483,active,Premium Blended Spices
tandoori-chicken-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_151_800x800_974f4f7d-2f89-4c94-a2e4-e666d31bbd2d.png?v=1787912483,,
turmeric-powder,Turmeric Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,59,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/63_800x800.png,Turmeric Powder Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/63_800x800.png,active,Essential Powder Products
turmeric-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,115,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/63_800x800.png,,
turmeric-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,278,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/63_800x800.png,,
turmeric-powder,,,,,,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,550,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/63_800x800.png,,
undiyu-masala,Undiyu Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_153_800x800_60d73395-1d04-4bb9-9203-d946ac5ab91b.png?v=1787912486,active,Premium Blended Spices
